time,human time,message
1689235856599638000,09:10:56,-APP-START-
1689235866610361000,09:11:06:610,-H-
1689235866595898000,09:11:06:595,-START_REC-
1689235874179575000,09:11:14:179,-STOP_REC-
1689235876621364000,09:11:16:621,-H-
1689235886633372000,09:11:26:633,-H-
1689235923949405000,09:12:03,-APP-START-
1689235933955868000,09:12:13:955,-H-
1689235937248693000,09:12:17:248,-START_REC-
1689235943967541000,09:12:23:967,-H-
1689235952260884000,09:12:32:260,-TRIGGER-
1689235953968982000,09:12:33:968,-H-
1689235955677597000,09:12:35:677,-TRIGGER-
1689235960302848000,09:12:40:302,-STOP_REC-
1689235963972221000,09:12:43:972,-H-
1689236033996170000,09:13:53,-APP-START-
1689237460387874000,09:37:40,-APP-START-
1689237470398389000,09:37:50:398,-H-
1689237480404340000,09:38:00:404,-H-
1689237490406905000,09:38:10:406,-H-
1689237499153447000,09:38:19:153,-START_REC-
1689237500410152000,09:38:20:410,-H-
1689237503966655000,09:38:23:966,-STOP_REC-
1689237510410336000,09:38:30:410,-H-
1689238011658101000,09:46:51,-APP-START-
1689238021663715000,09:47:01:663,-H-
1689238031670449000,09:47:11:670,-H-
1689238041675717000,09:47:21:675,-H-
1689238051681904000,09:47:31:681,-H-
1689238061692128000,09:47:41:692,-H-
1689238216462900000,09:50:16,-APP-START-
1689238226476203000,09:50:26:476,-H-
1689238236487313000,09:50:36:487,-H-
1689238246492196000,09:50:46:492,-H-
1689238256492429000,09:50:56:492,-H-
1689238266501391000,09:51:06:501,-H-
1689238276507124000,09:51:16:507,-H-
1689238286518922000,09:51:26:518,-H-
1689238296527133000,09:51:36:527,-H-
1689238306529238000,09:51:46:529,-H-
1689238316533464000,09:51:56:533,-H-
1689238334794546000,09:52:14,-APP-START-
1689238344802139000,09:52:24:802,-H-
1689238354810165000,09:52:34:810,-H-
1689238364812270000,09:52:44:812,-H-
1689238374819615000,09:52:54:819,-H-
1689238410514593000,09:53:30,-APP-START-
1689238420525827000,09:53:40:525,-H-
1689238430528331000,09:53:50:528,-H-
1689238440532641000,09:54:00:532,-H-
1689238450535162000,09:54:10:535,-H-
1689238460542861000,09:54:20:542,-H-
1689238470547136000,09:54:30:547,-H-
1689238480552939000,09:54:40:552,-H-
1689238490553530000,09:54:50:553,-H-
1689238500555400000,09:55:00:555,-H-
1689238510555573000,09:55:10:555,-H-
1689238520617276000,09:55:20:617,-H-
1689238530652129000,09:55:30:652,-H-
1689238540659799000,09:55:40:659,-H-
1689238550670742000,09:55:50:670,-H-
1689238540783974000,09:55:40:783,-START_REC-
1689238561232167000,09:56:01:232,-H-
1689238571343474000,09:56:11:343,-H-
1689238563958104000,09:56:03:958,-TRIGGER-
1689238575804642000,09:56:15:804,-STOP_REC-
1689238802705847000,10:00:02,-APP-START-
1689238812717297000,10:00:12:717,-H-
1689238822721870000,10:00:22:721,-H-
1689238832731638000,10:00:32:731,-H-
1689238842741819000,10:00:42:741,-H-
1689238852753843000,10:00:52:753,-H-
1689238862761768000,10:01:02:761,-H-
1689238872764600000,10:01:12:764,-H-
1689238882772593000,10:01:22:772,-H-
1689238892781427000,10:01:32:781,-H-
1689238902781654000,10:01:42:781,-H-
1689238912793377000,10:01:52:793,-H-
1689238922797192000,10:02:02:797,-H-
1689238914913842000,10:01:54:913,-START_REC-
1689238959969335000,10:02:39:969,-MESSAGE-TEST MOST DEVICES
1689239003014124000,10:03:23:014,-MESSAGE-Test message again
1689239029807455000,10:03:49:807,-TRIGGER-
1689239099675066000,10:04:59:675,-MESSAGE-Mutli trigger stimuly comming up... 10 trigger 
1689239116877193000,10:05:16:877,-TRIGGER-
1689239130193368000,10:05:30:193,-TRIGGER-
1689239140141210000,10:05:40:141,-TRIGGER-
1689239147885121000,10:05:47:885,-TRIGGER-
1689239157686221000,10:05:57:686,-TRIGGER-
1689239167916336000,10:06:07:916,-TRIGGER-
1689239177005860000,10:06:17:005,-TRIGGER-
1689239209189130000,10:06:49:189,-STOP_REC-
1689248737562778000,12:45:37,-APP-START-
1689248747570992000,12:45:47:570,-H-
1689248757576525000,12:45:57:576,-H-
1689248767587431000,12:46:07:587,-H-
1689248777598568000,12:46:17:598,-H-
1689248787599213000,12:46:27:599,-H-
1689248797609203000,12:46:37:609,-H-
1689248807610798000,12:46:47:610,-H-
1689248817932567000,12:46:57:932,-H-
1689248828070242000,12:47:08:070,-H-
1689248840805980000,12:47:20:805,-H-
1689248834407318000,12:47:14:407,-START_REC-
1689248867067334000,12:47:47:067,-STOP_REC-
1689249028193140000,12:50:28,-APP-START-
1689249038204233000,12:50:38:204,-H-
1689249048211465000,12:50:48:211,-H-
1689249058215419000,12:50:58:215,-H-
1689249068215552000,12:51:08:215,-H-
1689249078221844000,12:51:18:221,-H-
1689249089240434000,12:51:29:240,-H-
1689249178761357000,12:52:58:761,-H-
1689249188768812000,12:53:08:768,-H-
1689249198774843000,12:53:18:774,-H-
1689249210315013000,12:53:30:315,-H-
1689249202146086000,12:53:22:146,-START_REC-
1689249449525008000,12:57:29,-APP-START-
1689249459543749000,12:57:39:543,-H-
1689249469553031000,12:57:49:553,-H-
1689249489104280000,12:58:09:104,-H-
1689249499707813000,12:58:19:707,-H-
1689249514900810000,12:58:34:900,-H-
1689249535032758000,12:58:55:032,-H-
1689249523803920000,12:58:43:803,-START_REC-
1689249564134927000,12:59:24:134,-STOP_REC-
1689253765524194000,14:09:25,-APP-START-
1689253775538795000,14:09:35:538,-H-
1689253785542564000,14:09:45:542,-H-
1689253795551554000,14:09:55:551,-H-
1689253805552412000,14:10:05:552,-H-
1689253815558524000,14:10:15:558,-H-
1689253825570364000,14:10:25:570,-H-
1689253835571125000,14:10:35:571,-H-
1689253845582148000,14:10:45:582,-H-
1689253855591670000,14:10:55:591,-H-
1689253865598827000,14:11:05:598,-H-
1689253875605367000,14:11:15:605,-H-
1689253885610816000,14:11:25:610,-H-
1689253895620359000,14:11:35:620,-H-
1689253905622180000,14:11:45:622,-H-
1689253915623217000,14:11:55:623,-H-
1689253925624087000,14:12:05:624,-H-
1689253935631151000,14:12:15:631,-H-
1689253945641456000,14:12:25:641,-H-
1689253955643041000,14:12:35:643,-H-
1689253965646019000,14:12:45:646,-H-
1689253975658059000,14:12:55:658,-H-
1689253985662659000,14:13:05:662,-H-
1689253995673883000,14:13:15:673,-H-
1689254041165201000,14:14:01,-APP-START-
1689254051174758000,14:14:11:174,-H-
1689254061184294000,14:14:21:184,-H-
1689254071188532000,14:14:31:188,-H-
1689254081198073000,14:14:41:198,-H-
1689254091200557000,14:14:51:200,-H-
1689254101212635000,14:15:01:212,-H-
1689254111220357000,14:15:11:220,-H-
1689254121229958000,14:15:21:229,-H-
1689254131235249000,14:15:31:235,-H-
1689254141246005000,14:15:41:246,-H-
1689254151249294000,14:15:51:249,-H-
1689254161254663000,14:16:01:254,-H-
1689254171256846000,14:16:11:256,-H-
1689254181264942000,14:16:21:264,-H-
1689254191270323000,14:16:31:270,-H-
1689254201274168000,14:16:41:274,-H-
1689257310938547000,15:08:30,-APP-START-
1689257320950121000,15:08:40:950,-H-
1689257330951625000,15:08:50:951,-H-
1689257341914325000,15:09:01:914,-H-
1689257399124448000,15:09:59,-APP-START-
1689257543698401000,15:12:23:698,-START_REC-
1689257564364280000,15:12:44:364,-STOP_REC-
1689264807394975000,17:13:27,-APP-START-
1689264862920537000,17:14:22:920,-START_REC-
1689264874011513000,17:14:34:011,-STOP_REC-
