time,human time,message,activity
1689325270578919000,10:01:10,-APP-START-,none
1689325291741460000,10:01:31:741,-START_REC-,none
1689325292610627000,10:01:32:610,-H-,none
1689325302629863000,10:01:42:629,-H-,Value 1
1689325312638944000,10:01:52:638,-H-,Value 2
1689325322654612000,10:02:02:654,-H-,Value 2
1689325332693845000,10:02:12:693,-H-,Value 3
1689325337354222000,10:02:17:354,-TRIGGER-,Value 3
1689325342711287000,10:02:22:711,-H-,Value 3
1689333061415804000,12:11:01,-APP-START-,none
1689333074258030000,12:11:14:258,-START_REC-,none
1689333076872091000,12:11:16:872,-H-,none
1689333086879537000,12:11:26:879,-H-,none
1689333125146045000,12:12:05:146,-STOP_REC-,the_dance
1689333132559148000,12:12:12:559,-STOP_REC-,the_dance
1689333132573104000,12:12:12:573,-STOP_REC-,the_dance
1689333531078117000,12:18:51,-APP-START-,none
1689333584400986000,12:19:44:400,-START_REC-,none
1689333586255877000,12:19:46:255,-H-,none
1689333596341774000,12:19:56:341,-H-,none
1689333606513244000,12:20:06:513,-H-,none
1689333616516071000,12:20:16:516,-H-,none
1689333626621139000,12:20:26:621,-H-,none
1689333721556977000,12:22:01:556,-STOP_REC-,none
1689333728442436000,12:22:08:442,-STOP_REC-,none
1689333804058446000,12:23:24,-APP-START-,none
1689334651147320000,12:37:31,-APP-START-,none
1689334668971914000,12:37:48,-APP-START-,none
1689334752896036000,12:39:12:896,-START_REC-,none
1689334998645929000,12:43:18:645,-H-,none
1689335038368292000,12:43:58:368,-STOP_REC-,none
1689335043255097000,12:44:03:255,-STOP_REC-,none
1689337843619432000,13:30:43,-APP-START-,none
1689338140940549000,13:35:40,-APP-START-,none
1689338451178356000,13:40:51,-APP-START-,none
1689338483956065000,13:41:23,-APP-START-,none
1689338782743463000,13:46:22,-APP-START-,none
1689339198501657000,13:53:18,-APP-START-,none
1689339224610529000,13:53:44:610,-START_REC-,none
1689339224884386000,13:53:44:884,-H-,none
1689339231510915000,13:53:51:510,-TRIGGER-,none
1689339234884689000,13:53:54:884,-H-,none
1689339235204826000,13:53:55:204,-TRIGGER-,none
1689339244885661000,13:54:04:885,-H-,none
1689339247892085000,13:54:07:892,-CHANGING-,none
1689339254886692000,13:54:14:886,-H-,none
1689339264887735000,13:54:24:887,-H-,the_dance
1689339274888791000,13:54:34:888,-H-,the_dance
1689339282170537000,13:54:42:170,-CHANGING-,ukulele
1689339284890446000,13:54:44:890,-H-,ukulele
1689339288811276000,13:54:48:811,-STOP_REC-,ukulele
1689340709006025000,14:18:29,-APP-START-,none
1689340728753580000,14:18:48:753,-START_REC-,none
1689340731650926000,14:18:51:650,-STOP_REC-,none
1689340908223942000,14:21:48,-APP-START-,none
1689340961366175000,14:22:41:366,-START_REC-,none
1689340972665510000,14:22:52:665,-CHANGING-,none
1689341002544644000,14:23:22:544,-STOP_REC-,the_dance
1689341164393979000,14:26:04,-APP-START-,none
1689341261664301000,14:27:41,-APP-START-,none
1689341762708806000,14:36:02,-APP-START-,none
1689341917243192000,14:38:37,-APP-START-,none
1689341976848577000,14:39:36:848,-START_REC-,none
1689341983342396000,14:39:43:342,-STOP_REC-,none
1689342638078022000,14:50:38,-APP-START-,none
1689342681511086000,14:51:21:511,-START_REC-,none
1689342704631419000,14:51:44:631,-STOP_REC-,none
1689343155012310000,14:59:15,-APP-START-,none
1689343174278646000,14:59:34,-APP-START-,none
