U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690222658558787000,19:17:38.558789,H,UKULELE,NP
1690222668560109000,19:17:48.560144,H,HOOVERING,P
1690222678560588000,19:17:58.560621,H,HOOVERING,P
1690222688561995000,19:18:08.562267,H,HOOVERING,P
1690222698563725000,19:18:18.564294,H,HOOVERING,P
1690222708565438000,19:18:28.565945,H,HOOVERING,P
1690222718567456000,19:18:38.568045,H,HOOVERING,P
1690222728569595000,19:18:48.570228,H,HOOVERING,P
1690222738571805000,19:18:58.572400,H,HOOVERING,P
1690222748573933000,19:19:08.574521,H,HOOVERING,P
1690222758576035000,19:19:18.576789,H,HOOVERING,P
1690222768577621000,19:19:28.578160,H,HOOVERING,P
1690222778578805000,19:19:38.579800,H,HOOVERING,P
1690222788581450000,19:19:48.582054,H,HOOVERING,P
1690222798583609000,19:19:58.584057,H,HOOVERING,P
1690222808584964000,19:20:08.585499,H,HOOVERING,P
1690222818587042000,19:20:18.588088,H,HOOVERING,P
1690222828589623000,19:20:28.590234,H,HOOVERING,P
1690222838591780000,19:20:38.592177,H,HOOVERING,P
1690222848593604000,19:20:48.594016,H,HOOVERING,P
1690222858595460000,19:20:58.596505,H,HOOVERING,P
1690222868597986000,19:21:08.598525,H,HOOVERING,P
1690222877217286000,19:21:17.217658,START,HOOVERING,P
1690222878600011000,19:21:18.600383,H,HOOVERING,P
1690222888601631000,19:21:28.602020,H,HOOVERING,P
1690222892649727000,19:21:32.650538,CHANGE_COSTUME,HOOVERING,P
1690222898603480000,19:21:38.604026,H,HOOVERING,P
1690222908615256000,19:21:48.615504,H,HOOVERING,P
1690222918616946000,19:21:58.617573,H,HOOVERING,P
1690222928619118000,19:22:08.619811,H,HOOVERING,P
1690222938621477000,19:22:18.622081,H,HOOVERING,P
1690222948623749000,19:22:28.624324,H,HOOVERING,P
1690222958625239000,19:22:38.625828,H,HOOVERING,P
1690222968626524000,19:22:48.627101,H,HOOVERING,P
1690222978628696000,19:22:58.629313,H,HOOVERING,P
1690222988629996000,19:23:08.630413,H,HOOVERING,P
1690222998631933000,19:23:18.632905,H,HOOVERING,P
1690223007896586000,19:23:27.897220,HAT DROP,HOOVERING,P
1690223008634021000,19:23:28.634455,H,HOOVERING,P
1690223018635914000,19:23:38.636441,H,HOOVERING,P
1690223021060505000,19:23:41.061079,VACCUM THE HAT,HOOVERING,P
1690223028639788000,19:23:48.640247,H,HOOVERING,P
1690223038641677000,19:23:58.642285,H,HOOVERING,P
1690223048643874000,19:24:08.644490,H,HOOVERING,P
1690223058646089000,19:24:18.646676,H,HOOVERING,P
1690223068648304000,19:24:28.648848,H,HOOVERING,P
1690223078650446000,19:24:38.651061,H,HOOVERING,P
1690223088652713000,19:24:48.653323,H,HOOVERING,P
1690223097224939000,19:24:57.225507,RESTART THE HENRY,HOOVERING,P
1690223098654987000,19:24:58.655564,H,HOOVERING,P
1690223108656003000,19:25:08.656497,H,THE_DANCE,NP
