U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690214706486276000,17:05:06.486278,H,UKULELE,NP
1690214716487625000,17:05:16.487662,H,UKULELE,NP
1690214726489424000,17:05:26.489460,H,UKULELE,NP
1690214736491030000,17:05:36.491062,H,UKULELE,NP
1690214746492552000,17:05:46.492569,H,UKULELE,NP
1690214756493514000,17:05:56.493541,H,UKULELE,NP
1690214766495208000,17:06:06.495233,H,UKULELE,NP
1690214776496583000,17:06:16.496597,H,UKULELE,NP
1690214786497861000,17:06:26.497870,H,UKULELE,NP
1690214796498946000,17:06:36.499029,H,UKULELE,NP
1690214806500892000,17:06:46.500921,H,UKULELE,NP
1690214816501885000,17:06:56.501894,H,UKULELE,NP
1690214826503474000,17:07:06.503506,H,UKULELE,NP
1690214836504610000,17:07:16.504633,H,UKULELE,NP
1690214846506246000,17:07:26.506279,H,UKULELE,NP
1690214856508795000,17:07:36.510561,H,UKULELE,NP
1690214866513349000,17:07:46.513366,H,UKULELE,NP
1690214876514962000,17:07:56.514998,H,UKULELE,NP
1690214886516942000,17:08:06.517026,H,UKULELE,NP
1690214896517861000,17:08:16.517876,H,UKULELE,NP
1690214906518470000,17:08:26.518504,H,UKULELE,NP
1690214916520127000,17:08:36.520159,H,UKULELE,NP
1690214926521719000,17:08:46.521746,H,UKULELE,NP
1690214936523486000,17:08:56.523523,H,UKULELE,NP
1690214946524408000,17:09:06.524440,H,UKULELE,NP
1690214956526097000,17:09:16.526126,H,UKULELE,NP
1690214966526991000,17:09:26.527018,H,UKULELE,NP
1690214976528537000,17:09:36.528548,H,UKULELE,NP
1690214986529866000,17:09:46.529878,H,UKULELE,NP
1690214996530682000,17:09:56.530710,H,UKULELE,NP
1690215006532239000,17:10:06.532277,H,UKULELE,NP
1690215016532879000,17:10:16.532914,H,UKULELE,NP
1690215026534569000,17:10:26.534609,H,UKULELE,NP
1690215036535515000,17:10:36.535545,H,UKULELE,NP
1690215046536205000,17:10:46.536231,H,UKULELE,NP
1690215056537738000,17:10:56.537748,H,UKULELE,NP
1690215066539269000,17:11:06.539348,H,UKULELE,NP
1690215076541046000,17:11:16.541056,H,UKULELE,NP
1690215086542616000,17:11:26.542652,H,UKULELE,NP
1690215096544323000,17:11:36.544355,H,UKULELE,NP
1690215106545926000,17:11:46.545964,H,UKULELE,NP
1690215116547521000,17:11:56.547543,H,UKULELE,NP
1690215126549022000,17:12:06.549049,H,UKULELE,NP
1690215137360716000,17:12:17.360729,H,UKULELE,NP
1690215147362016000,17:12:27.362031,H,UKULELE,NP
1690215157363441000,17:12:37.363473,H,UKULELE,NP
1690215167365025000,17:12:47.365063,H,UKULELE,NP
1690215177366654000,17:12:57.366680,H,UKULELE,NP
1690215187368198000,17:13:07.368236,H,UKULELE,NP
1690215197369443000,17:13:17.369455,H,UKULELE,NP
1690215207370889000,17:13:27.370926,H,UKULELE,NP
1690215217375914000,17:13:37.375931,H,UKULELE,NP
1690215227376622000,17:13:47.376656,H,UKULELE,NP
