U_TIME,HUMAN_TIME,MESSAGE,STAGE
1689696270646154000,17:04:30.646158,H,PUT_ON_COSTUME
1689696280646563000,17:04:40.647086,H,PUT_ON_COSTUME
1689696290648396000,17:04:50.649129,H,PUT_ON_COSTUME
1689696300650133000,17:05:00.650608,H,PUT_ON_COSTUME
1689696310652213000,17:05:10.652897,H,PUT_ON_COSTUME
1689696320654440000,17:05:20.655693,H,PUT_ON_COSTUME
1689696330657339000,17:05:30.658049,H,PUT_ON_COSTUME
1689696340659093000,17:05:40.659782,H,PUT_ON_COSTUME
1689696350661411000,17:05:50.662080,H,PUT_ON_COSTUME
1689696360663679000,17:06:00.664410,H,PUT_ON_COSTUME
1689696370665937000,17:06:10.666625,H,PUT_ON_COSTUME
1689696380668336000,17:06:20.669011,H,PUT_ON_COSTUME
1689696390670717000,17:06:30.671369,H,PUT_ON_COSTUME
1689696400672892000,17:06:40.673520,H,PUT_ON_COSTUME
1689696410675292000,17:06:50.676136,H,PUT_ON_COSTUME
1689696420677899000,17:07:00.678549,H,PUT_ON_COSTUME
1689696430680147000,17:07:10.680829,H,PUT_ON_COSTUME
1689696440682285000,17:07:20.682934,H,PUT_ON_COSTUME
1689696450684596000,17:07:30.685214,H,PUT_ON_COSTUME
1689696460687445000,17:07:40.688144,H,THE_DANCE
1689696470689687000,17:07:50.690383,H,THE_DANCE
1689696480690968000,17:08:00.692310,H,THE_DANCE
1689696484896590000,17:08:04.897128,T,THE_DANCE
1689696490693600000,17:08:10.694460,H,THE_DANCE
1689696500695990000,17:08:20.696643,H,THE_DANCE
1689696510698259000,17:08:30.698909,H,THE_DANCE
1689696520699931000,17:08:40.700616,H,THE_DANCE
1689696530701188000,17:08:50.701952,H,THE_DANCE
1689696540703597000,17:09:00.704257,H,THE_DANCE
1689696550705752000,17:09:10.706261,H,THE_DANCE
1689696560707696000,17:09:20.708403,H,THE_DANCE
1689696570710061000,17:09:30.710694,H,THE_DANCE
1689696580712453000,17:09:40.713807,H,THE_DANCE
1689696590715781000,17:09:50.716519,H,UKULELE
1689696600718134000,17:10:00.718781,H,UKULELE
1689696605191193000,17:10:05.192075,Placeholder,UKULELE
1689696610719659000,17:10:10.720384,H,UKULELE
1689696620722043000,17:10:20.722621,H,UKULELE
1689696630724230000,17:10:30.725475,H,UKULELE
1689696640727618000,17:10:40.730165,H,UKULELE
1689696650732817000,17:10:50.733456,H,UKULELE
1689696660734432000,17:11:00.735292,H,UKULELE
1689696670736737000,17:11:10.737381,H,UKULELE
